,Coal or metal,Commodity,Mine name,Mine type,Operator ID,Operator name,State,Status
0,M,"Crushed, Broken Stone NEC",Newberg Rock & Dirt,Surface,3503598,Newberg Rock & Dirt,OR,Active
1,M,Construction Sand and Gravel,Allied Dirt Moving Co Pit & Plant,Surface,0502030,Allied Dirt Moving Company,CO,Abandoned
2,M,Construction Sand and Gravel,AM Dirtworks & Aggregate Sales,Surface,4801789,AM Dirtworks & Aggregate Sales,ND,Intermittent
3,M,Construction Sand and Gravel,Bar-Lin Dirt Pit,Surface,1601167,Bar-Lin Dirt Company,LA,Abandoned
4,M,Construction Sand and Gravel,Barber'S Dirt Pit,Surface,4103265,Barber'S Dirt Pit,TX,Abandoned
5,M,Gold Ore,Pay Dirt,Surface,2601714,Basil Cramer,NV,Abandoned
6,M,Construction Sand and Gravel,BENDER SAND & DIRT,Surface,1401575,Bender Sand & Dirt,KS,Abandoned
7,M,Construction Sand and Gravel,BERT'S DIRT,Surface,1700776,BERT'S DIRT,ME,Abandoned
8,M,Construction Sand and Gravel,Big Red Dirt Farm,Surface,0301963,Big Red Dirt Farm LLC,AR,Abandoned
9,M,Construction Sand and Gravel,Big River Dirt Pit,Surface,1601082,Big River Dirt Pit,LA,Abandoned
10,M,Construction Sand and Gravel,BOHANNON SAND & DIRT,Surface,1600916,Bohannon Sand & Dirt,LA,Abandoned
11,M,Construction Sand and Gravel,Buck'S Dirt Pit,Surface,1600956,Buck'S Dirt Pit,LA,Abandoned
12,M,Construction Sand and Gravel,17-A DIRT PIT,Surface,3800631,Butler Ware Trucking Inc,SC,Abandoned
13,M,Construction Sand and Gravel,PAYDIRT #1,Surface,3401803,Chisholm Trail Mining Company,OK,Abandoned
14,M,Construction Sand and Gravel,Dirt Crew 1,Surface,1302275,"Croell, Inc.",IA,Intermittent
15,M,Construction Sand and Gravel,Dirt Crew # 2,Surface,1302409,"Croell, Inc.",IA,Abandoned
16,M,Construction Sand and Gravel,Crowes Dirt Pit,Surface,1601106,Crowes Trucking & Dirt Pit Services,LA,Abandoned
17,M,Construction Sand and Gravel,D & H Dirt,Surface,3400915,D & H Dirt,OK,Abandoned
18,M,Construction Sand and Gravel,WISE DIRT,Surface,4104192,D-6 Enterprises Inc,TX,Abandoned
19,M,Common Clays NEC,Dirt Cheap,Surface,4503200,Dirt Cheap,WA,Abandoned
20,M,Construction Sand and Gravel,THE DIRT PIT,Surface,4104016,Dirt Pit,TX,Abandoned
21,M,Construction Sand and Gravel,DIRTCO INC,Surface,0301729,Dirtco Inc,AR,Abandoned
22,M,Construction Sand and Gravel,Dirtman Sand & Gravel #2,Surface,0404851,Dirtman Trucking,CA,Abandoned
23,M,Construction Sand and Gravel,"DIRTWORKS, INC.",Surface,2200734,"DIRTWORKS, INC.",MS,Abandoned
24,M,Construction Sand and Gravel,"Dirtworks, Inc.",Surface,5002028,"Dirtworks, Inc.",AK,Abandoned
25,M,Construction Sand and Gravel,Eddie Carr Dirt LLC,Surface,2200637,Eddie Carr,MS,Abandoned
26,M,Construction Sand and Gravel,DIRT/SAND SCREEN-AASE PIT,Surface,1301775,FALKSTONE LLC,IA,Abandoned
